,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,16.70392542206856,2.0201879687594473,8.26850059518277,1.6726511728315445e-15,12.733356951512349,20.674493892624774
DRD2,-8.790499308982593,3.633687236453879,-2.419167841633298,0.015966320685396388,-15.932311950202363,-1.6486866677628225
VS,21.14001795236398,10.019679000349553,2.109849821698527,0.03544316090047738,1.4468893231936448,40.833146581534315
DRD2:VS,-9.57295359106619,18.830010228069337,-0.5083881248665533,0.611439491242421,-46.58230423962746,27.436397057495086
